state,county,pop2018,65plus2018,dens2019,cases,first_case,deaths,first_death,stay_home_date,r_percent,d_percent,g_percent,l_percent,poverty,obesity
Tennessee,Dyer County,37320,6566,72.84,530.0,2020-03-19,0.0,,2020-03-31,76.561324304,21.1813393529,0.361173814898,1.45221971407,20.6,0.336
Tennessee,Fayette County,40507,8655,57.47,944.0,2020-03-21,12.0,2020-04-15,2020-03-31,67.5748471978,30.3791567388,0.321143685901,1.3519113229,13.5,0.369
Tennessee,Fentress County,18217,4000,36.53,74.0,2020-03-30,0.0,,2020-03-31,82.5058131583,15.0458213651,0.506086718643,1.46354807824,25.75,0.349
Tennessee,Franklin County,41890,8388,75.55,562.0,2020-03-22,24.0,2020-04-03,2020-03-31,70.4394059769,26.7188168429,0.403349019129,1.94952025912,13.5,0.315
Tennessee,Gibson County,49045,8863,81.37,586.0,2020-03-22,5.0,2020-04-22,2020-03-31,70.7195647711,26.9708478752,0.338739478546,1.56025456785,19.15,0.371
Tennessee,Giles County,29503,5903,48.29,108.0,2020-03-30,0.0,,2020-03-31,71.618705036,26.214028777,0.368705035971,1.45683453237,16.85,0.361
Tennessee,Grainger County,23145,4741,82.49,95.0,2020-04-01,0.0,,2020-03-31,82.8804007514,14.4520976832,0.338134001252,1.57795867251,18.05,0.3
Tennessee,Greene County,69087,14918,111.04,782.0,2020-03-20,39.0,2020-04-01,2020-03-31,78.915329275,17.9260142182,0.642799369971,2.03907879613,19.45,0.354
Tennessee,Grundy County,13346,2796,37.03,547.0,2020-03-24,13.0,2020-04-14,2020-03-31,76.3368421053,21.0105263158,0.4,1.68421052632,30.6,0.306
Tennessee,Hamblen County,64569,11923,400.58,209.0,2020-03-20,23.0,2020-04-09,2020-03-31,76.9668108266,19.8017396375,0.45191700277,2.15267991642,16.9,0.312
Tennessee,Hamilton County,364286,64030,671.66,2980.0,2020-03-13,249.0,2020-04-01,2020-03-31,55.7531469721,39.1670446813,0.777528918122,3.85362327058,14.35,0.306
Tennessee,Hancock County,6549,1396,29.46,0.0,,0.0,,2020-03-31,82.6379542396,14.4459398834,0.583221175415,1.88425302826,32.4,0.303
Tennessee,Hardeman County,25220,4562,37.77,185.0,2020-03-28,0.0,,2020-03-31,53.1486691192,45.1633845488,0.324605063839,0.908894178749,19.65,0.369
Tennessee,Hardin County,25776,5955,44.65,87.0,2020-03-23,0.0,,2020-03-31,80.5307066037,16.3031460448,0.964921097598,1.34686903206,20.95,0.328
Tennessee,Hawkins County,56530,11944,116.07,569.0,2020-03-25,40.0,2020-04-03,2020-03-31,80.2696433749,16.9227795496,0.434908669179,1.91359814439,18.65,0.345
Tennessee,Haywood County,17335,3299,32.52,273.0,2020-03-29,18.0,2020-04-09,2020-03-31,44.1090269637,54.2790152403,0.278429073857,0.879249706917,26.5,0.387
Tennessee,Henderson County,27847,5130,53.55,67.0,2020-04-05,0.0,,2020-03-31,79.8073141958,17.6563114432,0.383405426661,1.67125442391,16.45,0.364
Tennessee,Henry County,32358,7526,57.59,193.0,2020-03-29,0.0,,2020-03-31,73.5857841235,23.7526189183,0.465585473733,1.73042601071,17.05,0.352
Tennessee,Hickman County,25063,4401,40.92,166.0,2020-04-01,0.0,,2020-03-31,73.2414326205,23.4862148931,0.502447822726,2.07420767843,16.9,0.337
Tennessee,Houston County,8263,1696,41.26,94.0,2020-03-22,0.0,,2020-03-31,68.87835703,27.3301737757,0.379146919431,2.7804107425,20.4,0.324
Tennessee,Humphreys County,18486,3700,34.83,124.0,2020-03-31,2.0,2020-04-25,2020-03-31,69.0292758089,27.5528785544,0.3641966662,2.32525563804,13.0,0.316
Tennessee,Jackson County,11758,2641,38.1,134.0,2020-04-02,0.0,,2020-03-31,72.6107488194,25.3879019564,0.382280188891,1.39419833596,22.8,0.307
